id	geometry
10	LINESTRING(10.40989802 63.39356748,10.41002733 63.39366934,10.40992124 63.39375575,10.40991758 63.39376201,10.40991915 63.39378662,10.40999584 63.39386852,10.40975378 63.39411115,10.40202947 63.39746405,10.40136517 63.39970147,10.40134742 63.39975047,10.40147895 63.3999118,10.40148404 63.39992635,10.40149616 63.39993557)
11	LINESTRING(10.30798442 63.40598707,10.30794784 63.40632777,10.30791522 63.40649309,10.30797603 63.40657503,10.30799608 63.40658277,10.30838128 63.40621962,10.30832338 63.40619257,10.30835451 63.40615061,10.30834769 63.40614614,10.30846859 63.40606225,10.30818629 63.40590095,10.30815123 63.40564829,10.30807313 63.40478359,10.30809354 63.40478032,10.3080986 63.40478156,10.30810472 63.40479507,10.30820697 63.40483794,10.31609771 63.41338835,10.31614588 63.41341441,10.31615045 63.41341511,10.31619843 63.41342561,10.3163986 63.41361618,10.31207727 63.41300252,10.31103584 63.4129389,10.310612 63.41284976,10.30837199 63.41241354,10.31020322 63.41296167,10.31064287 63.41304768)
12	LINESTRING(10.58484184 63.41446514,10.58408967 63.41574883,10.58480926 63.41764125,10.58343776 63.41959279,10.58399684 63.420407,10.58400431 63.42058103,10.58385899 63.42071327)
13	LINESTRING(10.51915329 63.40812993,10.51956685 63.40835755,10.52011952 63.40953619,10.52888585 63.41661361,10.52879511 63.41674932,10.52876169 63.4167692,10.52858977 63.41677779,10.52849173 63.41684388,10.52874605 63.41726532,10.52869117 63.41730907,10.52870724 63.41737142,10.52871263 63.41739191)
14	LINESTRING(10.38434125 63.36401835,10.38057198 63.37049146,10.38054152 63.37050711,10.38053662 63.37050973,10.3805349 63.37051002,10.38053245 63.37051148,10.38053243 63.37051153,10.38053183 63.37051158,10.38053183 63.3705118,10.38053092 63.3705122,10.3805307 63.37051242,10.38052523 63.37051265,10.38051909 63.37051007,10.38051805 63.37050974,10.38047454 63.37051689,10.38285251 63.37062334)
15	LINESTRING(10.32079283 63.34345368,10.32141981 63.34403048,10.32152869 63.34409013,10.32153381 63.34409026,10.32153855 63.34409077,10.32154488 63.34409324,10.32171216 63.34410572,10.32162547 63.34435216,10.32154176 63.34438216,10.32169129 63.34478184,10.32179148 63.34510193,10.32195908 63.34519658,10.32170029 63.34544509,10.32156503 63.34552573,10.3232933 63.34643448,10.32399313 63.3535397,10.32571304 63.35376002,10.32649893 63.35446101,10.32667255 63.35454566,10.3267277 63.35455813,10.32672813 63.35455798,10.32672923 63.35455827,10.3267311 63.35455898,10.32673161 63.35455956,10.32716692 63.35481793)
16	LINESTRING(10.62136416 63.29517892,10.62211908 63.29423405,10.62219135 63.29424732,10.62235985 63.29424741,10.62238037 63.29424679,10.62244164 63.29423244,10.62247548 63.29421194,10.62258342 63.2942113,10.62270729 63.29420873,10.62283774 63.29414982,10.6228817 63.29412436,10.62292014 63.29412043,10.62302988 63.29405408,10.62327056 63.29324342,10.62413966 63.29324849,10.6243988 63.29284772,10.62443281 63.29261807,10.62378781 63.29249967,10.62353044 63.29128061,10.62341961 63.29128803,10.62306246 63.29118618,10.6227668 63.29061529,10.62494407 63.29179473,10.62558024 63.2919713,10.62533338 63.29158297,10.62563905 63.29129982,10.62914739 63.29072286,10.6329057 63.28871253,10.63776008 63.28609142,10.6405625 63.28567706,10.64235424 63.28472163,10.63995207 63.28378542,10.63876025 63.28412394,10.63796746 63.28379867,10.6358077 63.28352688,10.63487186 63.28354022,10.6346526 63.28358361,10.63357388 63.28365732,10.63345844 63.28367564,10.63335843 63.28371282,10.63727331 63.28199831,10.63613333 63.28212322,10.63511165 63.28219719,10.63462214 63.28206312,10.63432386 63.28197928,10.6342162 63.28198039,10.63407706 63.28196217,10.6331648 63.28218661,10.62285872 63.28398031,10.62273838 63.28414597,10.62247299 63.28419398)
17	LINESTRING(10.55235013 63.33092823,10.55121946 63.33067348,10.55125904 63.32999099,10.55125449 63.32998849,10.5512427 63.32999071,10.55122827 63.32998544,10.55122052 63.32998475,10.55121178 63.32998542,10.55110758 63.33033506,10.55105478 63.33035315,10.55101645 63.3303751,10.55089457 63.33037458,10.55072647 63.33031142,10.5501501 63.33030498,10.55011003 63.33029477,10.55007586 63.3302914,10.54991329 63.33032693,10.54732464 63.33116796,10.54486171 63.33345683,10.54418632 63.33370132,10.54496437 63.33434987,10.54482698 63.33474575,10.54412066 63.3357849,10.54546392 63.33804979,10.5454674 63.33805111,10.54546537 63.33805936,10.54537428 63.33807114,10.54536546 63.33809607,10.54538101 63.3380912,10.54538246 63.33809089,10.54538241 63.33809086,10.54538216 63.33809084,10.54538218 63.3380905,10.54538261 63.33808994,10.54538646 63.33809053,10.54538663 63.3380906,10.54538933 63.33809123,10.54538865 63.33809369,10.54538833 63.33809381,10.54539222 63.33809343,10.54539249 63.33809335,10.54539302 63.33809338,10.54539338 63.33809326,10.54539354 63.33809301,10.54539374 63.33809283,10.54539497 63.33809327,10.54539743 63.33809284,10.54539796 63.33809262,10.54540046 63.33809293,10.54540134 63.33809275,10.54540196 63.3380909,10.54540813 63.33808949,10.54541109 63.33811204,10.54541907 63.33812044,10.54545691 63.33812782,10.54546865 63.33813368,10.54548148 63.3381381,10.54551507 63.33816132,10.5454744 63.33820361,10.54547657 63.33820993,10.54548316 63.33821055,10.54548812 63.3382146,10.54548403 63.33822091,10.54548418 63.33822291,10.54548376 63.33822774,10.54548609 63.33822871,10.5454881 63.33824153,10.54549552 63.33827987,10.54550003 63.33828481,10.54549168 63.33830598,10.54549965 63.33831795,10.545519 63.33833836,10.54555217 63.33834545,10.54554526 63.33836882,10.54722711 63.33843016,10.54723137 63.33843137,10.54723149 63.3384315,10.54723146 63.33843153,10.54723167 63.33843157,10.54723189 63.33843152,10.54723238 63.33843151,10.54723316 63.33843161,10.54723327 63.33843159,10.54723384 63.33843143,10.54723333 63.33843259,10.54723097 63.33843342,10.54723148 63.33843334,10.54723169 63.33843321,10.54723222 63.33843344,10.54723293 63.33843408,10.54723314 63.33843556,10.54724021 63.3384386,10.54683833 63.33895062,10.54882952 63.33969984)
18	LINESTRING(10.29975368 63.39402173,10.29975208 63.39402064,10.2997524 63.39401996,10.29975874 63.39401668,10.29976542 63.39401472,10.299742 63.39409823,10.29983779 63.39417733,10.29992187 63.39420139,10.29993869 63.39421426,10.30008307 63.39432026,10.30396751 63.39456009,10.30513392 63.39641238,10.30741516 63.4027887,10.30748322 63.40289032,10.30748092 63.40289924,10.3074811 63.40290084,10.30747554 63.4029041,10.30747079 63.40290155,10.30746008 63.40290592,10.30745976 63.4029064,10.30745509 63.40290898,10.30748567 63.40295006,10.3075035 63.40295498)
19	LINESTRING(10.63343714 63.29630276,10.63342806 63.29630366,10.63342512 63.29630594,10.63342468 63.29630629,10.63342254 63.29631093,10.6334173 63.29631259,10.63304402 63.29637057,10.63297341 63.29641312,10.63291234 63.29653559,10.63292737 63.29676836,10.63279415 63.29674177,10.63278328 63.29674368,10.63276664 63.29672912,10.63275786 63.29672281,10.63262336 63.29686525,10.63257734 63.29688361,10.63258241 63.29688783,10.63256412 63.2968936,10.63253621 63.29687778,10.63247225 63.29687266,10.63245772 63.29686633,10.63239399 63.29687271,10.63234323 63.2969862,10.63231838 63.29698537,10.63230715 63.2969869,10.63230659 63.29698686,10.63230571 63.29698699,10.63229987 63.29698643,10.63228724 63.29699715,10.63227086 63.29700469,10.63219338 63.2970257,10.63215223 63.29702282,10.63214673 63.29702422,10.63214578 63.29702459,10.63214221 63.29702428,10.63328654 63.2974413,10.63346863 63.29769215,10.63351877 63.29770794,10.63352506 63.29773989,10.63350176 63.29777431,10.62915375 63.2979872,10.62125554 63.30219048,10.62119386 63.30217231,10.62118361 63.30217052,10.62116983 63.30216981,10.6212875 63.30196353,10.62147016 63.30193727,10.62150353 63.30191596,10.62238169 63.30011539,10.62188137 63.29817225,10.62226709 63.29797436,10.622337 63.29794242,10.62251653 63.29794222,10.62268494 63.29797482,10.62288138 63.29808336,10.62313791 63.29806421)
20	LINESTRING(10.65094994 63.2832006,10.65118326 63.2832528,10.65165516 63.2827667,10.65636651 63.2819517,10.65644909 63.28200538,10.65627646 63.28204541,10.65629816 63.2820493,10.65632913 63.2821017,10.65632999 63.28215902,10.6506016 63.28904575,10.65059741 63.28905676,10.65057068 63.28907214,10.65055568 63.28907611,10.65055599 63.28907658,10.65055404 63.28907723,10.65055338 63.28907728,10.650553 63.28907784,10.6505546 63.28907964,10.65055293 63.28908086,10.65055272 63.28908096,10.65055404 63.28908589,10.65055276 63.28908356,10.65054533 63.28908409,10.65048079 63.28911075,10.65047842 63.28911853,10.65045337 63.28914384,10.65047247 63.28918748,10.65035463 63.28923086,10.65036446 63.28922412,10.65037155 63.289202,10.65030268 63.28918864,10.65028486 63.28921984)
21	LINESTRING(10.52996386 63.33716184,10.52414485 63.34665126,10.52445462 63.34744092,10.52314589 63.34910264)
22	LINESTRING(10.38599937 63.2881738,10.38603518 63.28813988,10.38603554 63.28813965,10.38603581 63.28813956,10.38603634 63.28813886,10.38603632 63.28813869,10.38595362 63.28806159,10.3859528 63.28806161,10.3859521 63.28806188,10.38595181 63.28806154,10.38595033 63.28806173,10.38559369 63.28795115,10.38535394 63.2875792,10.38465144 63.28686835,10.38528469 63.28598162,10.38454095 63.28469356,10.38308449 63.28459675,10.38297857 63.28364943,10.38254011 63.28328958,10.38310817 63.28215591,10.38309775 63.28214767,10.38313534 63.28201029,10.38332935 63.28195128,10.38334596 63.28195355,10.38335685 63.28193695,10.38334592 63.28190354)
23	LINESTRING(10.50058445 63.34714098,10.49445418 63.35179479,10.49511069 63.35215623,10.49339012 63.35419217,10.49317943 63.35433296,10.49316482 63.35440662,10.49316523 63.35441153,10.49355805 63.35445056,10.49381455 63.3544817,10.49391974 63.35462529,10.49392402 63.35460326,10.49395127 63.35459249,10.49397826 63.35458026,10.49398604 63.35457558,10.4940011 63.35457224,10.49417569 63.35451782,10.49445224 63.35466421,10.49444447 63.35466682,10.49444385 63.35466975,10.49445757 63.35467766,10.49461125 63.35467524,10.49478539 63.35466324,10.49502104 63.354621,10.49507404 63.35463174,10.49508347 63.35463246,10.49518371 63.35472865)
24	LINESTRING(10.56963639 63.36563428,10.57011935 63.3642372,10.57090509 63.36205107,10.57081292 63.36202154,10.56993215 63.35991574,10.57501625 63.36748781,10.57507434 63.36787608,10.57672961 63.36821114)
25	LINESTRING(10.37547035 63.37336067,10.37455562 63.37344146,10.37454659 63.373445,10.37455429 63.37345677,10.37449095 63.37345161,10.3744418 63.37342284,10.37431151 63.37345822,10.37423777 63.3736138,10.37399435 63.37369828,10.3736262 63.37342981,10.37357134 63.37316882,10.37337886 63.37295628,10.37302755 63.37285714,10.37121881 63.37342854,10.36992962 63.37461019,10.36905098 63.37471081,10.36905788 63.37464171,10.36896132 63.37459909,10.36896098 63.37459873,10.36896086 63.37459814,10.3689586 63.37459783,10.3689654 63.37459601,10.36895772 63.37459056,10.3689627 63.37458638,10.36896856 63.37458384,10.36894157 63.37457667,10.36895659 63.37453835,10.37213656 63.37265357,10.37275367 63.37245698,10.37433647 63.37188756,10.37497447 63.3714121,10.37522467 63.37099553,10.3752097 63.37098381,10.37521534 63.37096198,10.37520189 63.37095494,10.37523382 63.37090571,10.3756922 63.37087859,10.37729009 63.37025992,10.37780999 63.36962111,10.37772025 63.36960642,10.37769175 63.369561,10.37768255 63.36952629,10.37817489 63.36935008,10.37830373 63.36935141,10.37837767 63.3692996,10.37839206 63.36930117,10.37841282 63.36929614,10.378463 63.36930469,10.37850222 63.36929736,10.37851719 63.36929365,10.37855438 63.36914573,10.378554 63.36913688,10.37889983 63.36829245)
26	LINESTRING(10.39668948 63.32883601,10.39650158 63.32870493,10.39626321 63.32856046,10.39622812 63.3285456,10.3961641 63.32829041,10.39616232 63.32828129,10.39616576 63.32829013,10.39616572 63.32829096,10.3961828 63.32830631,10.39620345 63.32829769,10.39624881 63.32831333,10.39625779 63.32832008,10.3962578 63.32832075,10.3962728 63.32832622,10.39627508 63.3283265,10.3962753 63.32833839,10.39627482 63.32834098,10.39626519 63.32835056,10.39626032 63.32835188,10.39625425 63.3283604,10.39626362 63.3283714,10.39629271 63.32838709,10.39635264 63.32838481,10.39638423 63.32838205,10.39637202 63.32838674,10.39637434 63.32839817,10.39639123 63.32841037,10.39698858 63.32899901,10.39784533 63.33017336,10.39864756 63.33035366,10.39885058 63.33050454,10.39842726 63.33063487,10.40019786 63.33095314,10.40030011 63.33096496,10.40030621 63.33096664,10.40033922 63.330969,10.40134413 63.33156334,10.40152976 63.33163668,10.40158881 63.33165623,10.40165705 63.33175431,10.40171023 63.33175897,10.40173747 63.33183802,10.40164312 63.33220681,10.40166805 63.33220455,10.40169527 63.33222616,10.40169966 63.33222848,10.40172796 63.33222115,10.40176756 63.33221845,10.40186282 63.3322578,10.40183125 63.33226839,10.4018588 63.33234877,10.40190364 63.33238988,10.40190904 63.33243878,10.40193531 63.33244314,10.40190849 63.3324942,10.40191494 63.33249309,10.40192393 63.3324929,10.40192444 63.33249298,10.40192226 63.33249433,10.40192126 63.33249458,10.40192053 63.33249578,10.40193391 63.33250426,10.40193511 63.33250588,10.40193336 63.33250791,10.40193797 63.33250379,10.40194106 63.33250489,10.40194402 63.33250517,10.40194483 63.33250515,10.40195018 63.33250249,10.40198052 63.33250844,10.40212749 63.33257692,10.40214061 63.33262436)
27	LINESTRING(10.44437514 63.40041323,10.44437987 63.4006702,10.45078867 63.41114544,10.45221236 63.41219453)
28	LINESTRING(10.39231902 63.38944135,10.39156328 63.38951184,10.39135867 63.38993203,10.39172884 63.39159543,10.39265125 63.39229425,10.39178139 63.39329674,10.39155324 63.39341506,10.39008247 63.39354393,10.38761073 63.39421084,10.38395638 63.3956163,10.38376468 63.39565086)
29	LINESTRING(10.37988412 63.36928021,10.38054316 63.36964408,10.38090648 63.37026008,10.38086441 63.37079485,10.38089842 63.37082799,10.38054416 63.3710484,10.37923452 63.37596516,10.37881709 63.37626998,10.37630208 63.37776505,10.37636165 63.37790409,10.37706056 63.37793512,10.37713219 63.37790646,10.37775923 63.37799272,10.38194451 63.37817826)
30	LINESTRING(10.43918057 63.33701068,10.43933051 63.33710959,10.44339184 63.34062408,10.44376047 63.34310895,10.44640758 63.34467672,10.44643111 63.34470222,10.44649341 63.34471266,10.4465034 63.34472846,10.44659057 63.34492606,10.44429014 63.34410866)
31	LINESTRING(10.666768 63.41925852,10.67275004 63.42013207,10.67302295 63.42035802,10.67267493 63.42021537,10.67251226 63.42042236,10.66902119 63.42537945,10.65980941 63.427983,10.65953865 63.42811488,10.65814894 63.4285043,10.65752464 63.42859625)
32	LINESTRING(10.63109654 63.33267376,10.63236591 63.33340642,10.63135337 63.33477273,10.63613975 63.33503494,10.63808034 63.33610262,10.63863186 63.33753541,10.64261035 63.33930561,10.64348296 63.33972971,10.64287485 63.34225394,10.64205458 63.34374821,10.64180227 63.34419545)
33	LINESTRING(10.61861473 63.37873214,10.61930346 63.37861661,10.62062061 63.37835123,10.62134161 63.37843953,10.6216973 63.37845173,10.62220241 63.37852079,10.62214693 63.37854192,10.62200521 63.37868328,10.62197877 63.37873977,10.62197262 63.37876066,10.61554957 63.38989073,10.61541298 63.38991989,10.61540493 63.39023162,10.61538751 63.39024263,10.61538447 63.39024595,10.61536669 63.39025071,10.61536271 63.39025538,10.61535995 63.39025627,10.61535944 63.39025623,10.61493716 63.39025513,10.61425601 63.39027382)
34	LINESTRING(10.37204206 63.3642146,10.37214352 63.36419976,10.37362114 63.36797346,10.37474428 63.36880808,10.37522536 63.36905846,10.37538775 63.3692085,10.37584685 63.36924686,10.37779406 63.36992147)
35	LINESTRING(10.53486617 63.28075136,10.53425 63.28021497,10.53532218 63.28200608,10.53533505 63.28228048,10.53053468 63.29056686)
36	LINESTRING(10.57154886 63.42122618,10.5749004 63.42113374,10.57560121 63.42127506,10.56919147 63.4260737,10.56924879 63.42802525,10.57322806 63.42734396,10.5732685 63.42731641,10.57397525 63.4276509,10.57737818 63.42634667,10.58218447 63.42493867,10.58265862 63.4247624,10.5827621 63.42473891)
37	LINESTRING(10.38076302 63.30700857,10.3829275 63.3069506,10.38327766 63.30700738,10.38334542 63.30699284,10.3834385 63.30705633,10.38370062 63.3071912,10.38372475 63.3080131,10.38754343 63.30888275,10.38652815 63.31060784,10.38652339 63.31073258,10.386424 63.31112093,10.38356711 63.31164842,10.38307203 63.31163898,10.38181765 63.31216177,10.38175551 63.31240942,10.38138233 63.31265765,10.3811786 63.31256998,10.38042772 63.31283551,10.38057006 63.31306636)
38	LINESTRING(10.61631903 63.32223642,10.6216357 63.32008247,10.62201176 63.31996032,10.6219911 63.32000618,10.62208503 63.32005376,10.62220068 63.32005254,10.62221877 63.32005871,10.62133004 63.32046998,10.62208747 63.32150818,10.6154275 63.32344233,10.61539027 63.33153311,10.61539818 63.33154168,10.61539895 63.33154207,10.61539739 63.33154339,10.61539674 63.3315437,10.61539846 63.33154483,10.61539675 63.33154639,10.61539132 63.33155611,10.61539472 63.33155832,10.61539476 63.33155848,10.61539377 63.33156072,10.61539454 63.33156133,10.61539499 63.3315616,10.61539418 63.33156174,10.61539367 63.33156464,10.61544136 63.33158664,10.61543413 63.33160994,10.61535708 63.33162494,10.61535044 63.33162807,10.6152817 63.33167357,10.61524848 63.33169333,10.61529601 63.33169158,10.61529859 63.33173502,10.61525604 63.33181158)
39	LINESTRING(10.51112091 63.34346428,10.51008244 63.34248827,10.50775527 63.33905437,10.50732762 63.33922077,10.50711704 63.33928237,10.50711308 63.33929985,10.50712334 63.33930281,10.50711884 63.3393183,10.50712772 63.33932286,10.50716564 63.33932461,10.5071949 63.33931207,10.50721548 63.3393077,10.50726229 63.33931444,10.50727168 63.33931547,10.50728075 63.33931858,10.50728667 63.33931873,10.50729394 63.33931708,10.50915457 63.3426542,10.50980831 63.34266053,10.51044347 63.34347558,10.5104546 63.34352081,10.51046177 63.34353326,10.51062347 63.34369336,10.51086806 63.34375212,10.51106313 63.34378058,10.51107868 63.34378452,10.51108259 63.34378746,10.51108563 63.34378815,10.51130447 63.34626437,10.51117711 63.34625827,10.51125037 63.34631976,10.51124993 63.34634209,10.511253 63.34634259,10.51125219 63.34634693,10.51122433 63.34635411,10.51122304 63.34635406,10.51122045 63.34635508,10.51122033 63.34635516,10.51121998 63.34635511,10.51121981 63.34635507,10.51121964 63.34635509,10.51121959 63.34635507,10.51121958 63.34635506,10.51121957 63.34635506,10.51121955 63.34635507,10.51121947 63.34635506,10.51121944 63.34635506,10.51121486 63.34635531,10.51121283 63.34635896,10.51121226 63.34635942,10.51120899 63.34636124,10.51120842 63.34636144,10.51120767 63.34636142,10.51117631 63.34635642,10.51117529 63.34635574,10.5111734 63.34635575,10.51117142 63.34635602,10.51117563 63.34637041,10.51110816 63.34639357,10.51141569 63.34655936,10.51146683 63.34656767,10.51145618 63.34656977,10.51144719 63.34657675,10.51144575 63.34657781,10.5114393 63.34657741,10.51142253 63.34657818,10.51141384 63.34657258,10.51140378 63.34656997,10.51139935 63.34656351,10.51133999 63.34657279,10.51124055 63.346633,10.51129708 63.34663122,10.51246439 63.34653429,10.51283338 63.34649297,10.51312906 63.34654654)
40	LINESTRING(10.46248716 63.28899998,10.46824561 63.29408612,10.46820357 63.2941678,10.46773353 63.29412435,10.46749794 63.29445559,10.46766528 63.29446843,10.46768623 63.29448264,10.467709 63.29449124,10.46772301 63.29455623,10.46776752 63.29457092,10.46779892 63.2945763,10.46784443 63.2945727,10.46817466 63.29474322,10.46820288 63.2948023,10.4684927 63.29481404,10.46827561 63.29523691,10.46829524 63.29523734,10.46841983 63.29542482,10.46848656 63.29549679,10.46845411 63.29556377,10.46838189 63.29611004,10.46791413 63.29708026,10.46803645 63.29731824,10.46835718 63.29736342)
41	LINESTRING(10.34635802 63.28034173,10.35220004 63.28073528,10.35276015 63.28077296,10.35280559 63.28078353,10.3531656 63.28107281,10.35197467 63.28222783,10.35193628 63.2822453,10.35196862 63.28226296,10.35194774 63.2822677,10.35195927 63.28228641,10.35195646 63.28230703,10.35196199 63.28231218,10.35194567 63.28232282,10.35182391 63.28235673,10.34841401 63.28621721,10.3491667 63.28730793,10.34717584 63.29189406,10.34712813 63.29194112,10.3471371 63.29196234,10.34713814 63.29196384,10.34704329 63.29199106,10.34528547 63.29255435)
42	LINESTRING(10.47738423 63.31094446,10.47694589 63.3118237,10.47696315 63.31192366,10.47691929 63.31195719,10.4768484 63.31192893,10.47679456 63.31196511,10.47678142 63.31203599,10.47676701 63.31204763,10.47676215 63.3120604,10.47675715 63.31207736,10.47675429 63.31208398,10.47674142 63.31209284,10.476738 63.31210228,10.47672375 63.31210868,10.47671846 63.31211035,10.47671087 63.31211753,10.47670956 63.31212173,10.47670748 63.31212423,10.47672577 63.3121478,10.47672139 63.31215611,10.47672655 63.31215019,10.47686101 63.31215156,10.47688921 63.31214963,10.47689422 63.31215356,10.47690006 63.31215677,10.47690031 63.31215846,10.47687653 63.31216419,10.47693571 63.31219206,10.47694779 63.312197,10.4769498 63.31219724,10.47694072 63.31225936,10.47692083 63.31227827,10.47231433 63.32176055,10.47235671 63.32270405,10.47215935 63.32311852,10.4704338 63.32349087,10.47041825 63.32351148,10.47042032 63.32351676,10.47039947 63.32351318,10.47037345 63.32353223,10.47035311 63.3235549,10.47034291 63.32356085)
43	LINESTRING(10.27724221 63.28333392,10.27717318 63.28334422,10.27715517 63.2833554,10.27934052 63.28706653,10.27930742 63.28705728,10.27927585 63.28706715,10.27917341 63.28713212,10.27924612 63.28717486,10.27926789 63.28719754,10.27926074 63.28720376,10.27925837 63.28721971,10.27927508 63.28725796,10.27794981 63.28887583,10.2779728 63.28888484,10.27797954 63.28888674,10.27798538 63.28888657,10.27792243 63.28891795,10.27802982 63.28897323,10.27660976 63.28975875,10.27274126 63.28962067,10.27278429 63.28964481,10.27274729 63.28966828,10.27275498 63.28968793,10.27276561 63.28969656,10.27276801 63.28969777,10.27267537 63.28968548,10.27269251 63.28972192,10.27265126 63.28970924,10.27256918 63.2897467,10.27253796 63.28976266,10.2725186 63.28974359,10.27251635 63.28974232,10.27249374 63.28973281)
44	LINESTRING(10.29381247 63.29714868,10.29881951 63.30031825,10.29927129 63.30067235,10.29985812 63.30186251,10.29974322 63.302291)
